"sample_AGM1-21-MED.sam" "sample_AGM1-22-LPS.sam" "sample_AGM1-23-CLO.sam" "sample_AGM2-26-MED.sam" "sample_AGM2-27-LPS.sam" "sample_AGM2-28-CLO.sam" "sample_AGM3-31-MED.sam" "sample_AGM3-32-LPS.sam" "sample_AGM3-33-CLO.sam" "sample_AGM5-CA1I1-CLO.sam" "sample_AGM5-CA1I1-LPS.sam" "sample_AGM5-CA1I1-MED.sam" "sample_AGM6-CA1I2-CLO.sam" "sample_AGM6-CA1I2-LPS.sam" "sample_AGM6-CA1I2-MED.sam" "sample_CH1-I4-CLO.sam" "sample_CH1-I4-LPS.sam" "sample_CH1-I4-MED.sam" "sample_CH2-I5-CLO.sam" "sample_CH2-I5-LPS.sam" "sample_CH2-I5-MED.sam" "sample_IND1-1-MED.sam" "sample_IND1-2-LPS.sam" "sample_IND1-3-CLO.sam" "sample_IND2-6-MED.sam" "sample_IND2-7-LPS.sam" "sample_IND2-8-CLO.sam" "sample_IND3-M1I1-CLO.sam" "sample_IND3-M1I1-LPS.sam" "sample_IND3-M1I1-MED.sam" "sample_IND4-16-MED.sam" "sample_IND4-17-LPS.sam" "sample_IND4-18-CLO.sam" "sample_IND4-M1I3-CLO.sam" "sample_IND4-M1I3-LPS.sam" "sample_IND4-M1I3-MED.sam" "sample_RM3-36-MED.sam" "sample_RM3-37-LPS.sam" "sample_RM3-38-CLO.sam" "sample_RM4-41-MED.sam" "sample_RM4-42-LPS.sam" "sample_RM4-43-CLO.sam"
"5_8S_rRNA" 78 25 135 86 574 268 74 52 59 56 11 4 86 27 167 87 4 1 99 87 148 1820 104 126 84 58 134 58 19 1 133 95 85 58 28 38 11 200 68 129 218 112
"5S_rRNA" 1466 296 2803 772 4485 5352 955 529 1136 1138 878 235 1130 555 1563 1916 28 19 1955 1706 2293 9066 2448 1358 2892 1722 1629 2860 973 8 2056 2147 1287 2860 793 1559 334 2904 593 1006 1566 1383
"6-16" 4473 2165 11054 753 1567 4729 2725 3442 745 1327 1168 21 3775 2679 77 168 62 4 2812 2842 511 3996 3279 3565 2018 2209 2551 4188 1611 10 9144 3581 2554 4188 2379 172 780 11316 3417 2018 2064 2805
"76P" 67 0 46 65 43 73 57 52 7 81 39 6 200 17 179 90 0 0 142 54 101 34 40 31 50 62 64 119 15 2 83 65 71 119 16 42 25 218 51 61 55 49
"7SK" 166717 75374 368751 123209 84038 116842 101650 76411 14456 86864 46084 6340 329585 120768 198360 4936 4593 632 73898 297616 16164 95542 99256 133020 68137 105106 97647 88282 40083 758 247263 149536 97417 88282 62129 25846 24535 254228 45047 70036 81709 113549
"A1BG" 0 1 0 0 0 0 0 0 0 0 0 2 0 1 12 15 0 0 0 32 13 0 0 10 4 2 2 5 3 0 0 3 4 5 0 3 0 8 0 1 0 2
"A1CF" 3 0 6 16 25 11 7 7 1 56 23 13 4 8 25 74 0 0 46 26 67 13 14 2 37 13 20 72 39 0 4 24 19 72 6 32 1 37 11 27 14 8
"A2LD1" 19 0 14 9 26 14 22 20 4 15 19 12 53 6 12 24 0 0 8 15 39 26 27 24 19 43 26 52 18 0 30 79 27 52 46 17 4 137 24 37 27 19
"A2ML1" 17 2 23 41 60 48 13 20 3 36 63 28 82 65 206 175 1 0 166 207 255 19 38 22 86 56 73 381 70 0 29 70 41 381 77 162 9 132 49 52 35 7
"A4GNT" 6 0 0 3 7 6 7 2 2 0 4 1 0 5 34 26 0 0 19 14 18 4 4 0 7 12 14 55 3 0 5 16 11 55 27 2 2 19 10 11 0 6
"AAAS" 10 3 29 10 15 18 18 0 1 23 6 0 4 7 63 17 0 1 14 43 13 8 5 20 8 15 11 53 6 0 34 25 8 53 22 9 1 31 7 12 12 15
"AACS" 117 25 95 110 90 110 119 66 15 40 44 14 125 86 245 49 9 2 117 209 165 64 76 93 31 108 100 214 63 5 130 109 62 214 22 47 23 356 109 58 83 96
"AADACL2" 0 0 3 11 7 8 5 3 4 0 10 3 24 10 9 58 0 0 26 2 34 1 3 0 5 2 8 22 8 0 1 16 6 22 1 17 0 26 3 13 4 7
"AADACL3" 1 0 1 6 3 7 6 7 0 0 1 0 28 0 3 24 0 0 7 67 22 2 6 0 14 5 10 56 20 0 0 18 3 56 2 18 0 16 7 4 6 4
"AADACL4" 3 0 0 6 14 3 4 1 0 0 11 1 0 15 10 28 0 0 31 48 18 2 2 4 5 10 10 6 6 0 4 13 7 6 9 17 2 10 7 8 9 4
"AADAT" 20 4 1 11 18 8 9 9 1 0 17 4 30 16 20 72 2 0 28 6 73 2 5 5 16 8 9 105 11 0 3 24 13 105 20 95 2 53 18 22 12 6
"AAK1" 336 67 135 156 217 244 279 179 19 29 74 12 198 60 271 101 7 0 113 134 153 112 135 95 163 197 171 143 69 3 308 260 128 143 27 61 51 728 205 135 140 110
"AANAT" 3 0 1 6 6 7 3 3 1 0 12 0 39 2 8 5 1 0 11 13 16 3 4 0 7 5 8 39 3 1 1 17 11 39 0 11 0 16 0 13 2 6
"AARS2" 40 11 41 37 45 84 49 34 12 14 43 7 177 20 140 50 5 0 78 43 51 40 31 27 32 64 36 84 47 0 111 77 38 84 19 43 15 219 51 44 51 47
"AASDH" 55 32 89 85 82 72 90 84 11 91 67 12 196 95 381 114 6 2 200 153 194 39 39 39 43 70 38 344 62 0 59 71 48 344 26 129 12 164 49 45 54 32
"AASDHPPT" 74 17 60 50 33 61 76 59 14 55 67 3 152 28 85 41 10 0 98 92 114 63 57 35 40 92 68 158 38 2 168 105 71 158 52 35 20 319 73 58 59 86
"AATF" 321 33 276 192 165 271 187 174 44 175 125 8 149 193 371 78 4 0 258 469 179 185 222 237 180 269 248 347 106 2 527 407 236 347 88 80 62 964 258 202 217 272
"AATK" 127 0 4 14 6 15 18 4 1 14 1 5 25 1 15 36 0 0 12 34 31 26 8 0 44 33 15 23 6 0 12 5 2 23 0 11 0 13 7 7 7 7
"ABCA1" 1020 480 2246 214 413 549 703 819 90 597 540 49 1412 908 778 249 35 12 1112 4094 478 766 1517 991 652 2418 1446 576 259 3 1027 1052 465 576 467 275 141 2231 346 257 258 244
"ABCA10" 4 0 2 7 7 13 2 6 2 12 42 4 5 24 36 64 1 0 66 14 62 7 10 8 16 9 16 78 28 0 3 26 18 78 7 47 2 32 5 14 12 20
"ABCA12" 20 7 26 40 74 49 46 50 6 38 144 34 270 145 115 317 2 2 293 161 266 31 22 18 82 88 76 473 91 4 9 163 44 473 111 170 13 209 45 67 48 67
"ABCA13" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"ABCA15" 6 5 12 34 36 32 22 26 4 81 115 27 43 56 174 193 2 0 217 114 198 10 21 7 55 49 61 271 84 0 9 71 50 271 57 145 0 130 28 67 24 61
"ABCA2" 29 0 7 27 30 27 15 12 2 5 7 1 41 10 44 58 2 0 27 69 68 16 18 11 37 37 21 91 11 0 55 44 18 91 6 44 6 69 25 39 32 12
"ABCA3" 33 10 27 31 36 30 27 16 2 24 9 4 26 20 104 65 0 1 87 75 73 26 38 12 32 36 42 38 24 6 66 67 40 38 25 55 12 133 30 43 34 31
"ABCA4" 30 3 21 51 52 62 38 37 7 108 83 17 15 41 186 167 3 2 105 203 175 29 24 21 83 44 51 223 78 6 27 86 49 223 54 140 13 152 56 62 35 50
"ABCA5" 41 0 21 68 91 65 64 51 6 116 77 16 56 94 154 172 6 2 150 204 172 33 43 23 46 42 26 219 96 4 30 106 32 219 55 114 11 115 25 45 39 49
"ABCA7" 104 1 39 45 44 49 55 37 7 3 21 9 36 44 178 88 1 1 35 50 92 55 33 20 46 54 43 94 25 2 76 71 32 94 22 73 6 107 37 52 44 22
"ABCA9" 53 7 17 88 84 77 55 60 7 152 220 78 211 114 304 427 6 1 353 155 484 19 47 78 123 80 95 499 161 3 17 169 94 499 151 237 14 274 74 139 71 55
"ABCB11" 13 5 13 33 35 29 12 15 10 32 43 26 73 14 83 132 7 1 114 59 161 15 20 1 51 22 39 135 61 0 11 74 39 135 55 135 5 74 32 39 16 24
"ABCB4" 18 2 25 34 38 29 24 27 10 6 104 40 52 24 143 138 2 0 153 37 110 7 25 14 36 29 34 65 73 0 5 46 22 65 35 95 2 100 28 47 21 39
"ABCB5" 6 5 7 23 25 28 13 36 22 28 41 29 3 13 88 136 0 2 105 83 115 13 9 7 36 33 42 182 44 0 11 49 24 182 19 75 3 75 15 36 29 20
"ABCB6" 15 0 13 18 16 27 14 9 6 3 18 15 0 37 54 32 1 0 38 77 80 9 7 14 25 27 27 31 10 0 24 27 17 31 0 71 3 57 29 24 14 11
"ABCB7" 123 55 77 87 84 99 101 81 20 101 40 17 205 58 282 50 2 0 149 213 169 110 123 141 57 103 67 93 56 3 253 144 93 93 37 104 26 410 122 98 89 103
"ABCB8" 13 3 4 13 31 29 8 8 6 4 17 11 0 1 38 71 1 0 76 52 92 15 19 16 31 24 29 83 10 1 25 41 16 83 27 57 5 77 28 29 10 24
"ABCB9" 6 0 2 13 4 18 5 9 4 1 15 9 112 19 35 35 0 0 24 40 32 9 12 0 18 14 19 11 4 3 3 25 14 11 2 40 6 50 3 18 13 8
"ABCC1" 118 31 106 67 93 105 108 102 10 29 26 19 83 61 161 69 14 2 68 203 100 126 161 111 104 298 238 235 59 2 440 348 237 235 90 50 42 489 82 101 129 114
"ABCC10" 28 5 24 25 29 31 30 30 6 16 10 4 16 4 24 30 0 0 12 16 27 33 9 32 25 31 17 61 14 2 54 53 23 61 23 21 9 120 26 31 30 29
"ABCC11" 11 6 14 28 30 27 14 14 4 56 39 10 6 16 80 112 1 0 96 100 135 9 24 6 57 29 27 83 49 1 4 49 35 83 46 56 1 85 26 47 19 26
"ABCC12" 8 4 17 29 30 39 18 22 3 15 42 7 98 31 55 84 0 1 40 109 110 17 22 12 38 25 26 92 93 2 11 56 34 92 45 97 3 82 21 39 21 24
"ABCC3" 77 15 4 52 21 30 20 27 6 20 22 4 57 31 90 63 5 0 63 100 121 20 11 2 39 23 29 90 23 2 19 43 19 90 13 88 8 86 25 27 11 23
"ABCC4" 656 48 47 243 149 91 292 124 9 27 114 18 143 74 627 178 17 1 280 326 525 220 88 82 126 139 111 295 98 8 494 270 121 295 59 221 31 222 73 183 114 110
"ABCC5" 129 27 98 114 116 99 82 91 18 32 105 4 43 58 269 129 5 4 114 85 193 47 68 25 89 105 98 200 96 5 111 161 91 200 89 79 22 366 81 77 98 97
"ABCC6" 0 0 0 2 5 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 2 0 1 0 0 0 0 0 4 0 2 1 4 0 0 0 0 2 0 3 2 0
"ABCD2" 7 3 13 18 20 12 19 4 0 26 29 3 38 14 56 76 1 1 95 82 88 9 11 0 20 23 26 65 20 1 13 42 14 65 5 33 5 71 45 29 23 16
"ABCD3" 130 11 138 86 84 83 131 105 252 44 69 22 360 84 250 129 11 1 308 328 185 46 55 50 75 113 87 213 66 3 155 157 53 213 98 68 32 377 112 85 86 92
"ABCD4" 40 2 24 39 52 59 34 48 6 24 27 2 44 12 116 47 3 0 62 53 94 42 27 41 53 65 42 58 31 2 91 93 18 58 1 39 11 178 23 51 59 67
